DOMAIN,NAMESERVER,TYPE,REASON,PROVIDER,DEPENDENCY,REDUNDANT,ENTITY_COUNT
imgix.net,ns-cloud-d2.googledomains.com,third,SOA mname points to third party: googledomains,googledomains,Critical dependency,False,1
imgix.net,ns-cloud-d1.googledomains.com,third,SOA mname points to third party: googledomains,googledomains,Critical dependency,False,1
impervadns.net,ns2.impervadns.net,private,NS TLD matches domain TLD,impervadns.net,Critical dependency,False,1
impervadns.net,ns3.impervadns.net,private,NS TLD matches domain TLD,impervadns.net,Critical dependency,False,1
impervadns.net,ns1.impervadns.net,private,NS TLD matches domain TLD,impervadns.net,Critical dependency,False,1
incapsuladns.net,ns-48.awsdns-06.com,third,SOA mname points to third party: awsdns-13,awsdns-13,No critical dependency,False,1
incapsuladns.net,ns-1643.awsdns-13.co.uk,third,SOA mname points to third party: awsdns-13,awsdns-13,No critical dependency,False,1
incapsuladns.net,ns-518.awsdns-00.net,third,SOA mname points to third party: awsdns-13,awsdns-13,No critical dependency,False,1
incapsuladns.net,ns-1156.awsdns-16.org,third,SOA mname points to third party: awsdns-13,awsdns-13,No critical dependency,False,1
jcloud-cdn.com,ns7.jdgslb.com,third,SOA mname points to third party: jdgslb,jdgslb,Critical dependency,False,1
jcloud-cdn.com,ns8.jdgslb.com,third,SOA mname points to third party: jdgslb,jdgslb,Critical dependency,False,1
jsdelivr.net,dns1.p08.nsone.net,third,SOA mname points to third party: clou,clou,No critical dependency,True,3
jsdelivr.net,gns1.cloudns.net,third,SOA mname points to third party: clou,clou,No critical dependency,True,3
jsdelivr.net,ns2.gcdn.services,third,SOA mname points to third party: clou,clou,No critical dependency,True,3
jsdelivr.net,ns1.gcorelabs.net,third,SOA mname points to third party: clou,clou,No critical dependency,True,3
jsdelivr.net,gns2.cloudns.net,third,SOA mname points to third party: clou,clou,No critical dependency,True,3
jtvnw.net,ns-947.awsdns-54.net,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
jtvnw.net,ns-124.awsdns-15.com,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
jtvnw.net,ns-1215.awsdns-23.org,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
jtvnw.net,ns-1731.awsdns-24.co.uk,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
jwpcdn.com,ns-1350.awsdns-40.org,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
jwpcdn.com,ns-917.awsdns-50.net,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
jwpcdn.com,ns-1574.awsdns-04.co.uk,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
jwpcdn.com,ns-173.awsdns-21.com,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
kakaocdn.net,ns2.kakao.com,private,"Domanin name is contained in the nameserver, signaling ownership",kakao.com,Critical dependency,False,1
kakaocdn.net,ns1.kakao.com,private,"Domanin name is contained in the nameserver, signaling ownership",kakao.com,Critical dependency,False,1
ks-cdn.com,ns2.ksyuncdn.com,third,SOA mname points to third party: ksyuncdn,ksyuncdn,Critical dependency,False,1
ks-cdn.com,ns1.ksyuncdn.com,third,SOA mname points to third party: ksyuncdn,ksyuncdn,Critical dependency,False,1
ks-cdn.com,ns3.ksyuncdn.com,third,SOA mname points to third party: ksyuncdn,ksyuncdn,Critical dependency,False,1
kxcdn.com,ns-1318.awsdns-36.org,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
kxcdn.com,ns-437.awsdns-54.com,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
kxcdn.com,ns-1756.awsdns-27.co.uk,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
kxcdn.com,ns-572.awsdns-07.net,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
licdn.com,ns3-42.azure-dns.org,third,SOA mname points to third party: nsone,nsone,No critical dependency,True,2
licdn.com,dns3.p09.nsone.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,True,2
licdn.com,dns4.p09.nsone.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,True,2
licdn.com,ns2-42.azure-dns.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,True,2
licdn.com,ns4-42.azure-dns.info,third,SOA mname points to third party: nsone,nsone,No critical dependency,True,2
licdn.com,dns2.p09.nsone.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,True,2
licdn.com,dns1.p09.nsone.net,third,SOA mname points to third party: nsone,nsone,No critical dependency,True,2
licdn.com,ns1-42.azure-dns.com,third,SOA mname points to third party: nsone,nsone,No critical dependency,True,2
line-scdn.net,ns2.naver.jp,third,SOA mname points to third party: naver,naver,No critical dependency,False,1
line-scdn.net,ns1.naver.jp,third,SOA mname points to third party: naver,naver,No critical dependency,False,1
line-scdn.net,ans1.linecorp.com,third,SOA mname points to third party: naver,naver,No critical dependency,False,1
line-scdn.net,ans2.linecorp.com,third,SOA mname points to third party: naver,naver,No critical dependency,False,1
