website,cdns,cdn_types,uses_third_party,critical_dependency,redundant,mult_third,step_id
edsanta.com,google,"{""google"": ""private""}",False,False,False,False,"step 7, "
educadventista.org,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
education.gov.uk,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
educationalnetworks.net,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
eduki.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
edweek.org,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
eeo.cn,tencent,"{""tencent"": ""private""}",False,False,False,False,"step 6, "
effem.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
efilive.com,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
egam.com.br,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
egoi.page,bunnycdn,"{""bunnycdn"": ""private""}",False,False,False,False,"step 6, "
egym.com,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
eichvw.com,amazon|cloudflare,"{""amazon"": ""private"", ""cloudflare"": ""private""}",False,False,True,False,"step 5 (SOA), step 7, "
eiga.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
eightfold.ai,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
eintaxid.com,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
eitvcloud.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
eksmo.ru,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
el.com.br,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
elarabygroup.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
elaws.us,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 3, "
elcinema.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
eldroadmap.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
eleadcrm.com,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 5 (SOA), "
electre-ng.com,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
elemecdn.com,eleme|dnion,"{""eleme"": ""private"", ""dnion"": ""third""}",True,False,True,False,"step 2, step 6, "
elements.amazon,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 3, "
eletromidia.com.br,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
elevate.cafe,amazon|cloudflare,"{""amazon"": ""private"", ""cloudflare"": ""private""}",False,False,True,False,"step 5 (SOA), step 6, "
elitescastle.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
elive.fans,microsoft|cloudflare|amazon,"{""microsoft"": ""private"", ""cloudflare"": ""third"", ""amazon"": ""third""}",True,False,True,True,"step 3, step 5 (SOA), step 6, "
elli.eco,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 5 (SOA), "
elluciancloud.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
elongstatic.com,google,"{""google"": ""private""}",False,False,False,False,"step 3, "
elonreptiloid.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
elphasecure.io,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
eltropy.com,amazon|cloudflare,"{""amazon"": ""private"", ""cloudflare"": ""private""}",False,False,True,False,"step 5 (SOA), step 7, "
elusivedisc.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 7, "
elyrialibrary.org,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 5 (SOA), "
em-consulte.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
email-rec.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
email.it,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
emailservice.io,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
emailsp.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
